mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_preprocess__text__ufs__percentile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.54309812,0.604084565,6.513543463,0.300121887,0.05,20,"{'clf__alpha': 0.05, 'preprocess__text__ufs__percentile': 20}",0.653451811,0.633490249,0.671641791,0.652291105,0.671122995,0.65639959,0.014138672,50
27.30632067,0.419857822,6.243507481,0.158544639,0.05,50,"{'clf__alpha': 0.05, 'preprocess__text__ufs__percentile': 50}",0.63372859,0.639092728,0.664010624,0.638814016,0.636835279,0.642496248,0.010926386,87
27.00665817,0.57941892,6.1783988,0.163169498,0.001,1,"{'clf__alpha': 0.001, 'preprocess__text__ufs__percentile': 1}",0.629807692,0.609120521,0.661893397,0.657686212,0.65664557,0.643030678,0.020399501,84
27.06375494,0.371918682,6.400098991,0.235598442,0.001,2,"{'clf__alpha': 0.001, 'preprocess__text__ufs__percentile': 2}",0.652173913,0.640062598,0.675384615,0.672281776,0.672699849,0.66252055,0.013969942,30
27.22238822,0.290556251,6.46814518,0.266868023,0.001,5,"{'clf__alpha': 0.001, 'preprocess__text__ufs__percentile': 5}",0.665248227,0.648215586,0.663345196,0.676900585,0.685432794,0.667828478,0.01267784,8
27.62986813,0.463092547,6.464527988,0.2768746,0.001,10,"{'clf__alpha': 0.001, 'preprocess__text__ufs__percentile': 10}",0.659355723,0.630419821,0.66621067,0.657024793,0.664438503,0.655489902,0.01296782,56
27.53293309,0.485180837,6.46390481,0.094461808,0.001,15,"{'clf__alpha': 0.001, 'preprocess__text__ufs__percentile': 15}",0.657181572,0.629228687,0.65948856,0.650406504,0.665771812,0.652415427,0.012592053,66
27.58628101,0.358508388,6.521007919,0.248557996,0.001,20,"{'clf__alpha': 0.001, 'preprocess__text__ufs__percentile': 20}",0.64717879,0.631860776,0.66442953,0.64498645,0.656396517,0.648970413,0.011008659,72
27.49906654,0.308034228,6.575802422,0.270961312,0.001,50,"{'clf__alpha': 0.001, 'preprocess__text__ufs__percentile': 50}",0.617150574,0.618008186,0.6429061,0.613986014,0.614141414,0.621238458,0.010950782,95
27.7989922,0.433944707,6.754491472,0.217328757,0.003,1,"{'clf__alpha': 0.003, 'preprocess__text__ufs__percentile': 1}",0.629807692,0.609120521,0.661893397,0.657686212,0.65664557,0.643030678,0.020399501,84
28.223031,0.469329015,6.476534462,0.261815191,0.003,2,"{'clf__alpha': 0.003, 'preprocess__text__ufs__percentile': 2}",0.652173913,0.640563821,0.675384615,0.673312883,0.672699849,0.662827016,0.013958925,27
27.64631886,0.408837517,6.586287117,0.172152578,0.003,5,"{'clf__alpha': 0.003, 'preprocess__text__ufs__percentile': 5}",0.664772727,0.648688047,0.663345196,0.676427526,0.684989429,0.667644585,0.012361766,10
27.47200551,0.687056455,6.683586454,0.21486138,0.003,10,"{'clf__alpha': 0.003, 'preprocess__text__ufs__percentile': 10}",0.659807956,0.630853994,0.666666667,0.656099242,0.66398929,0.65548343,0.012830466,57
27.60575995,0.528133935,6.594869471,0.27367939,0.003,15,"{'clf__alpha': 0.003, 'preprocess__text__ufs__percentile': 15}",0.658536585,0.630581867,0.65993266,0.650879567,0.664879357,0.652962007,0.012057333,64
27.7168273,0.369414455,6.490594816,0.208540724,0.003,20,"{'clf__alpha': 0.003, 'preprocess__text__ufs__percentile': 20}",0.649456522,0.63277592,0.666219839,0.647257955,0.65729585,0.650601217,0.011126441,70
27.86622577,0.339556781,6.432337141,0.161861954,0.003,50,"{'clf__alpha': 0.003, 'preprocess__text__ufs__percentile': 50}",0.618983957,0.623306233,0.649456522,0.617095205,0.62257849,0.626284081,0.011809219,94
